lesion_name,dataset_id,dataset_name,p,r,tp,fp,fn,volume,pred_volume
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,5,ct+seg+2box,0.97,0.598,545,17,367,912.0,562
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,6,ct+seg+mask,0.946,0.673,614,35,298,912.0,649
ULSDL3D_000441_02_01_187_lesion_01.nii.gz,7,ct+seg+2mask,0.948,0.663,605,33,307,912.0,638
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,1,ct,0.0,0.0,0,711,1853,1853.0,711
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,2,ct+seg,0.298,0.052,97,228,1756,1853.0,325
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,3,ct+seg+box,0.661,0.872,1615,828,238,1853.0,2443
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,5,ct+seg+2box,0.942,0.795,1473,90,380,1853.0,1563
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,6,ct+seg+mask,0.594,0.959,1777,1216,76,1853.0,2993
ULSDL3D_000445_06_01_053_lesion_01.nii.gz,7,ct+seg+2mask,0.963,0.859,1592,61,261,1853.0,1653
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,1,ct,0.285,0.494,306,768,313,619.0,1074
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,2,ct+seg,0.0,0.0,0,1891,619,619.0,1891
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,3,ct+seg+box,0.744,0.698,432,149,187,619.0,581
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,5,ct+seg+2box,0.74,0.8,495,174,124,619.0,669
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,6,ct+seg+mask,0.801,0.625,387,96,232,619.0,483
ULSDL3D_000453_04_02_496_lesion_01.nii.gz,7,ct+seg+2mask,0.901,0.68,421,46,198,619.0,467
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,1,ct,0.323,0.841,227,476,43,270.0,703
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,2,ct+seg,0.441,0.819,221,280,49,270.0,501
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,3,ct+seg+box,0.855,0.893,241,41,29,270.0,282
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,5,ct+seg+2box,0.821,0.937,253,55,17,270.0,308
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,6,ct+seg+mask,0.888,0.848,229,29,41,270.0,258
ULSDL3D_000460_05_01_069_lesion_01.nii.gz,7,ct+seg+2mask,0.94,0.926,250,16,20,270.0,266
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,1,ct,0.269,0.601,86,234,57,143.0,320
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,2,ct+seg,0.956,0.608,87,4,56,143.0,91
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,3,ct+seg+box,1.0,0.35,50,0,93,143.0,50
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,5,ct+seg+2box,0.741,0.881,126,44,17,143.0,170
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,6,ct+seg+mask,1.0,0.385,55,0,88,143.0,55
ULSDL3D_000489_06_01_070_lesion_01.nii.gz,7,ct+seg+2mask,0.861,0.734,105,17,38,143.0,122
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,1,ct,0.0,0.0,0,1420,209,209.0,1420
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,2,ct+seg,0.01,0.344,72,7041,137,209.0,7113
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,3,ct+seg+box,0.728,0.885,185,69,24,209.0,254
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,5,ct+seg+2box,0.769,0.923,193,58,16,209.0,251
ULSDL3D_000491_02_01_054_lesion_01.nii.gz,6,ct+seg+mask,0.752,0.914,191,63,18,209.0,254
